Length error: 0.47530448, Total energy: -1441.7709
Length error: 0.47640914, Total energy: -1441.954
Length error: 0.47715482, Total energy: -1442.0883
Length error: 0.47752315, Total energy: -1442.1707
Length error: 0.47750655, Total energy: -1442.1997
Length error: 0.47710916, Total energy: -1442.1768
Length error: 0.47635064, Total energy: -1442.1041
Length error: 0.47526014, Total energy: -1441.9856
Length error: 0.47387737, Total energy: -1441.827
Length error: 0.47225022, Total energy: -1441.6354
Length error: 0.470434, Total energy: -1441.4183
Length error: 0.4684903, Total energy: -1441.1844
Length error: 0.46648386, Total energy: -1440.9426
Length error: 0.46447694, Total energy: -1440.7014
Length error: 0.46253592, Total energy: -1440.4697
Length error: 0.46072197, Total energy: -1440.2552
Length error: 0.4590882, Total energy: -1440.0657
Length error: 0.4576838, Total energy: -1439.9067
Length error: 0.45655066, Total energy: -1439.7839
Length error: 0.45571768, Total energy: -1439.7006
Length error: 0.45520777, Total energy: -1439.6597
Length error: 0.45502704, Total energy: -1439.6622
Length error: 0.45517957, Total energy: -1439.7086
Length error: 0.4556526, Total energy: -1439.7964
Length error: 0.45642513, Total energy: -1439.9238
Length error: 0.45746604, Total energy: -1440.0865
Length error: 0.45873958, Total energy: -1440.2799
Length error: 0.46019903, Total energy: -1440.4983
Length error: 0.46179676, Total energy: -1440.7356
Length error: 0.4634788, Total energy: -1440.9843
Length error: 0.46518898, Total energy: -1441.2378
Length error: 0.46687397, Total energy: -1441.488
Length error: 0.46848178, Total energy: -1441.7285
Length error: 0.4699582, Total energy: -1441.9519
Length error: 0.471263, Total energy: -1442.1523
Length error: 0.4723522, Total energy: -1442.3241
Length error: 0.47319767, Total energy: -1442.4625
Length error: 0.47377455, Total energy: -1442.5647
Length error: 0.47406596, Total energy: -1442.6279
Length error: 0.47406992, Total energy: -1442.6519
Length error: 0.4737882, Total energy: -1442.6362
Length error: 0.47323436, Total energy: -1442.5836
Length error: 0.4724291, Total energy: -1442.497
Length error: 0.4714023, Total energy: -1442.3799
Length error: 0.47019082, Total energy: -1442.2378
Length error: 0.46883595, Total energy: -1442.0762
Length error: 0.46738064, Total energy: -1441.9016
Length error: 0.46587622, Total energy: -1441.7202
Length error: 0.46437, Total energy: -1441.5392
