Length error: 0.036503583, Total energy: -1377.3763
Length error: 0.03639926, Total energy: -1377.4358
Length error: 0.036262214, Total energy: -1377.4895
Length error: 0.03609605, Total energy: -1377.5374
Length error: 0.035909384, Total energy: -1377.581
Length error: 0.035710216, Total energy: -1377.6212
Length error: 0.035502106, Total energy: -1377.6598
Length error: 0.035295635, Total energy: -1377.6968
Length error: 0.035097674, Total energy: -1377.7341
Length error: 0.03491178, Total energy: -1377.7727
Length error: 0.034748852, Total energy: -1377.8132
Length error: 0.034609854, Total energy: -1377.8567
Length error: 0.034501746, Total energy: -1377.9036
Length error: 0.034424677, Total energy: -1377.9541
Length error: 0.03438367, Total energy: -1378.009
Length error: 0.034378156, Total energy: -1378.0679
Length error: 0.034407586, Total energy: -1378.1307
Length error: 0.03447053, Total energy: -1378.198
Length error: 0.034564182, Total energy: -1378.2684
Length error: 0.034684792, Total energy: -1378.3423
Length error: 0.034828544, Total energy: -1378.4191
Length error: 0.03498964, Total energy: -1378.4974
Length error: 0.03516166, Total energy: -1378.5774
Length error: 0.03533803, Total energy: -1378.658
Length error: 0.0355123, Total energy: -1378.7383
Length error: 0.035677463, Total energy: -1378.8171
Length error: 0.03582926, Total energy: -1378.8944
Length error: 0.035960555, Total energy: -1378.9689
Length error: 0.036067754, Total energy: -1379.0402
Length error: 0.036145896, Total energy: -1379.1073
Length error: 0.036193684, Total energy: -1379.1696
Length error: 0.03620909, Total energy: -1379.2272
Length error: 0.03619033, Total energy: -1379.2797
Length error: 0.036142886, Total energy: -1379.3269
Length error: 0.036066398, Total energy: -1379.3698
Length error: 0.03596595, Total energy: -1379.4081
Length error: 0.0358447, Total energy: -1379.4427
Length error: 0.03570737, Total energy: -1379.4746
Length error: 0.035559595, Total energy: -1379.5038
Length error: 0.03540802, Total energy: -1379.5317
Length error: 0.03525555, Total energy: -1379.559
Length error: 0.035108864, Total energy: -1379.5863
Length error: 0.03497286, Total energy: -1379.6145
Length error: 0.034852415, Total energy: -1379.6442
Length error: 0.034750402, Total energy: -1379.6763
Length error: 0.03467001, Total energy: -1379.7107
Length error: 0.0346148, Total energy: -1379.7482
Length error: 0.034584135, Total energy: -1379.7885
Length error: 0.03458096, Total energy: -1379.8318
Length error: 0.034604236, Total energy: -1379.8784
Length error: 0.034651518, Total energy: -1379.9282
Length error: 0.034722656, Total energy: -1379.9803
Length error: 0.034812912, Total energy: -1380.0349
Length error: 0.03492014, Total energy: -1380.0916
Length error: 0.03503789, Total energy: -1380.1494
Length error: 0.03516625, Total energy: -1380.208
Length error: 0.035295725, Total energy: -1380.2668
Length error: 0.035422966, Total energy: -1380.3258
Length error: 0.03554435, Total energy: -1380.3837
Length error: 0.03565529, Total energy: -1380.44
Length error: 0.03575094, Total energy: -1380.494
Length error: 0.03582804, Total energy: -1380.5452
Length error: 0.03588423, Total energy: -1380.5938
Length error: 0.035919607, Total energy: -1380.6389
Length error: 0.035928845, Total energy: -1380.6804
Length error: 0.035915464, Total energy: -1380.7183
Length error: 0.035880566, Total energy: -1380.7526
Length error: 0.035824224, Total energy: -1380.7832
Length error: 0.03574887, Total energy: -1380.811
Length error: 0.03565854, Total energy: -1380.8359
Length error: 0.035557166, Total energy: -1380.859
Length error: 0.035448477, Total energy: -1380.8804
Length error: 0.035335526, Total energy: -1380.9009
Length error: 0.035223365, Total energy: -1380.9208
Length error: 0.035115972, Total energy: -1380.941
Length error: 0.035015687, Total energy: -1380.9617
Length error: 0.03492658, Total energy: -1380.9838
Length error: 0.034852907, Total energy: -1381.0073
Length error: 0.034793943, Total energy: -1381.0327
Length error: 0.03475316, Total energy: -1381.0604
Length error: 0.034732103, Total energy: -1381.0901
Length error: 0.034732535, Total energy: -1381.1226
Length error: 0.03475021, Total energy: -1381.157
Length error: 0.034785807, Total energy: -1381.1938
Length error: 0.034838334, Total energy: -1381.2325
Length error: 0.034906924, Total energy: -1381.2728
Length error: 0.034986064, Total energy: -1381.3145
Length error: 0.035073355, Total energy: -1381.3574
Length error: 0.035167485, Total energy: -1381.4005
Length error: 0.035264075, Total energy: -1381.4441
Length error: 0.03535758, Total energy: -1381.4872
Length error: 0.035446048, Total energy: -1381.5293
Length error: 0.03552687, Total energy: -1381.5703
Length error: 0.03559515, Total energy: -1381.6096
Length error: 0.035651386, Total energy: -1381.6471
Length error: 0.035693794, Total energy: -1381.6824
Length error: 0.035718396, Total energy: -1381.7148
Length error: 0.035723954, Total energy: -1381.745
Length error: 0.035714433, Total energy: -1381.7726
Length error: 0.03568624, Total energy: -1381.7974
Length error: 0.035644323, Total energy: -1381.8197
Length error: 0.035589874, Total energy: -1381.8398
Length error: 0.035522684, Total energy: -1381.8584
Length error: 0.03544809, Total energy: -1381.875
Length error: 0.035366222, Total energy: -1381.8904
Length error: 0.035283238, Total energy: -1381.9054
Length error: 0.03520012, Total energy: -1381.92
Length error: 0.035120204, Total energy: -1381.9349
Length error: 0.03504789, Total energy: -1381.9503
Length error: 0.034983218, Total energy: -1381.9666
Length error: 0.034928605, Total energy: -1381.9843
Length error: 0.03488466, Total energy: -1382.0027
Length error: 0.034855276, Total energy: -1382.0233
Length error: 0.034840688, Total energy: -1382.0454
Length error: 0.0348406, Total energy: -1382.0692
Length error: 0.0348552, Total energy: -1382.0952
Length error: 0.03488432, Total energy: -1382.1222
Length error: 0.03492382, Total energy: -1382.1511
Length error: 0.034973875, Total energy: -1382.1809
Length error: 0.035032675, Total energy: -1382.2117
Length error: 0.03509839, Total energy: -1382.2432
Length error: 0.03516756, Total energy: -1382.2753
Length error: 0.035239175, Total energy: -1382.3071
Length error: 0.035308555, Total energy: -1382.3389
Length error: 0.035373375, Total energy: -1382.37
Length error: 0.035432667, Total energy: -1382.4001
Length error: 0.035482258, Total energy: -1382.4287
Length error: 0.035523012, Total energy: -1382.4559
Length error: 0.035552412, Total energy: -1382.4818
Length error: 0.03556983, Total energy: -1382.5055
Length error: 0.0355736, Total energy: -1382.5272
Length error: 0.03556466, Total energy: -1382.5474
Length error: 0.035544693, Total energy: -1382.5653
Length error: 0.03551349, Total energy: -1382.5815
Length error: 0.035472274, Total energy: -1382.5962
Length error: 0.035421774, Total energy: -1382.6095
Length error: 0.03536649, Total energy: -1382.622
Length error: 0.035306677, Total energy: -1382.6332
Length error: 0.035245314, Total energy: -1382.6443
Length error: 0.03518337, Total energy: -1382.655
Length error: 0.035124436, Total energy: -1382.666
Length error: 0.03507103, Total energy: -1382.6774
Length error: 0.035023168, Total energy: -1382.6893
Length error: 0.034984455, Total energy: -1382.7025
Length error: 0.03495209, Total energy: -1382.7164
Length error: 0.034931973, Total energy: -1382.7316
Length error: 0.03492193, Total energy: -1382.748
Length error: 0.03492403, Total energy: -1382.7659
Length error: 0.034933552, Total energy: -1382.7848
Length error: 0.03495471, Total energy: -1382.805
Length error: 0.034986064, Total energy: -1382.8262
Length error: 0.03502308, Total energy: -1382.8485
Length error: 0.03506753, Total energy: -1382.8715
Length error: 0.035116136, Total energy: -1382.8947
